source_id,input_index,capability,kind,origin_path,origin_version,source_path,source_sha256,observed_implementation,observed_wiring,destination,integration_approach,proposed_route,human_access,agent_access,dependencies,missing_information,required_verification,next_action
cap-37596cca1ee4234b3102,10,evidence,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\evidence.md,a9467ecbe945ae6ec939b6a46b33f3592951db9856d3ddc53c3f94c60a83f7a8,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/evidence; preserve source version and expose a reviewed workflow entry.,"Open the command/evidence guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/evidence guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/evidence prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/evidence into a versioned resource and define its bounded workflow adapter.
cap-7aecbbc696f686fe9e58,11,family-court,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\family-court.md,65e2b7476804b51c5657c1b32b43b428e119eddf24217ca5b04c2cf0cfe4d55e,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/family-court; preserve source version and expose a reviewed workflow entry.,"Open the command/family-court guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/family-court guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/family-court prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/family-court into a versioned resource and define its bounded workflow adapter.
cap-ac2ebf12a9196bfba15d,12,hearing,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\hearing.md,9eb92fe8ea2141d94ae4ed195b3a4fb14ffa51f29b5b7b35fca3daa4436c29c8,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/hearing; preserve source version and expose a reviewed workflow entry.,"Open the command/hearing guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/hearing guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/hearing prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/hearing into a versioned resource and define its bounded workflow adapter.
cap-7952363f52c6d3fe6e92,13,motion,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\motion.md,1935a6cb870e880b8406f55910a291b88c1c786e6eed3d2068b89175ee6b06f3,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/motion; preserve source version and expose a reviewed workflow entry.,"Open the command/motion guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/motion guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/motion prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/motion into a versioned resource and define its bounded workflow adapter.
cap-e4c503cb7ecb98cd99d2,14,packet,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\packet.md,04ad2c3a6d9749b3774eef0489e30f3ed97df46d5bc6fbfc496611025af4ed0a,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/packet; preserve source version and expose a reviewed workflow entry.,"Open the command/packet guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/packet guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/packet prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/packet into a versioned resource and define its bounded workflow adapter.
cap-6e0c6e4ff50e2198c7fd,15,verify-sources,command,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\commands\verify-sources.md,e4414b62d29d3188a674169d0f1af6ade5a0cd5b7145d59dd788204f407520b7,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,import_reconcile,Advocatio guidance resource command/verify-sources; preserve source version and expose a reviewed workflow entry.,"Open the command/verify-sources guidance card, supply explicit case and source scope, then approve a proposed workflow.",Role-scoped agent may retrieve command/verify-sources guidance and draft a proposal; execution requires selected tools and human approval.,versioned prompt/resource registry; case scope; role and tool policy,"Advocatio command runner, input schema, and referenced tool allowlist are unconfirmed.",Compare command/verify-sources prompt inputs and outputs with a synthetic fixture; confirm provenance and refusal behavior.,Extract command/verify-sources into a versioned resource and define its bounded workflow adapter.
cap-7697f37be7c32a130e79,16,behavioral-pattern-analyzer,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\behavioral-pattern-analyzer\SKILL.md,723b412ec8850c6b85223cafc02036b8ffe95ffb6c2b83cccc12b4ea17d4ba2b,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,port,"Port behavioral-pattern-analyzer as versioned human-readable guidance and contextual workflow help, retaining its variant identity and provenance; bind any execution to an explicit case task and review gate.","User opens the guidance in the relevant case workflow, supplies facts and sources, and accepts or revises the proposed work product.","Agent may use the guidance as a bounded role procedure, with source-linked outputs and escalation when facts, authority, or safety are uncertain.",skill content and references; case/source scope; applicable primary authority; review and provenance record,full referenced content; dependency/member routing; intended output shape; variant-specific safety rules,Check content/provenance and variant separation; test contextual routing with representative fixture; verify primary-source and human-review gates; confirm no executable handler is implied.,"Import/reconcile behavioral-pattern-analyzer with provenance, then connect it to its contextual workflow and review fixture."
cap-4726aac0648eab205a3c,17,best-interest-factors,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\best-interest-factors\SKILL.md,e1a54a902fc5840cca361df315a74a405deee681018678d8b2c996b2dc537316,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,port,"Port best-interest-factors as versioned human-readable guidance and contextual workflow help, retaining its variant identity and provenance; bind any execution to an explicit case task and review gate.","User opens the guidance in the relevant case workflow, supplies facts and sources, and accepts or revises the proposed work product.","Agent may use the guidance as a bounded role procedure, with source-linked outputs and escalation when facts, authority, or safety are uncertain.",skill content and references; case/source scope; applicable primary authority; review and provenance record,full referenced content; dependency/member routing; intended output shape; variant-specific safety rules,Check content/provenance and variant separation; test contextual routing with representative fixture; verify primary-source and human-review gates; confirm no executable handler is implied.,"Import/reconcile best-interest-factors with provenance, then connect it to its contextual workflow and review fixture."
cap-ceef63e5ae7e7cc4eddb,18,case-intake,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\case-intake\SKILL.md,29b5270ba116f9451feffd7b203b39a5b096ebaa5e2b080fa74922b7528c05ba,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,port,"Port case-intake as versioned human-readable guidance and contextual workflow help, retaining its variant identity and provenance; bind any execution to an explicit case task and review gate.","User opens the guidance in the relevant case workflow, supplies facts and sources, and accepts or revises the proposed work product.","Agent may use the guidance as a bounded role procedure, with source-linked outputs and escalation when facts, authority, or safety are uncertain.",skill content and references; case/source scope; applicable primary authority; review and provenance record,full referenced content; dependency/member routing; intended output shape; variant-specific safety rules,Check content/provenance and variant separation; test contextual routing with representative fixture; verify primary-source and human-review gates; confirm no executable handler is implied.,"Import/reconcile case-intake with provenance, then connect it to its contextual workflow and review fixture."
cap-1e0d220e9b89ded845b9,19,case-research,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\case-research\SKILL.md,f62409ffcf6df95210df075e8beb3c7a2cff8f8e365ccb8bc51d9f6c03b90641,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,port,"Port case-research as versioned human-readable guidance and contextual workflow help, retaining its variant identity and provenance; bind any execution to an explicit case task and review gate.","User opens the guidance in the relevant case workflow, supplies facts and sources, and accepts or revises the proposed work product.","Agent may use the guidance as a bounded role procedure, with source-linked outputs and escalation when facts, authority, or safety are uncertain.",skill content and references; case/source scope; applicable primary authority; review and provenance record,full referenced content; dependency/member routing; intended output shape; variant-specific safety rules,Check content/provenance and variant separation; test contextual routing with representative fixture; verify primary-source and human-review gates; confirm no executable handler is implied.,"Import/reconcile case-research with provenance, then connect it to its contextual workflow and review fixture."
cap-93b9b01795a4121ffb71,20,case-store,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\case-store\SKILL.md,39c98ed9433ab8f969fe4f44bcd84a759dfc172064e567a6bcbdb27b471ef084,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,port,"Port case-store as versioned human-readable guidance and contextual workflow help, retaining its variant identity and provenance; bind any execution to an explicit case task and review gate.","User opens the guidance in the relevant case workflow, supplies facts and sources, and accepts or revises the proposed work product.","Agent may use the guidance as a bounded role procedure, with source-linked outputs and escalation when facts, authority, or safety are uncertain.",skill content and references; case/source scope; applicable primary authority; review and provenance record,full referenced content; dependency/member routing; intended output shape; variant-specific safety rules,Check content/provenance and variant separation; test contextual routing with representative fixture; verify primary-source and human-review gates; confirm no executable handler is implied.,"Import/reconcile case-store with provenance, then connect it to its contextual workflow and review fixture."
cap-cc4fde3d3bd60d2e580e,21,child-support-worksheet,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\child-support-worksheet\SKILL.md,327cf73319bbf2e660115f71c477376967944d2e0a4bd6f4ddf8dc87451340bc,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,port,"Port child-support-worksheet as versioned human-readable guidance and contextual workflow help, retaining its variant identity and provenance; bind any execution to an explicit case task and review gate.","User opens the guidance in the relevant case workflow, supplies facts and sources, and accepts or revises the proposed work product.","Agent may use the guidance as a bounded role procedure, with source-linked outputs and escalation when facts, authority, or safety are uncertain.",skill content and references; case/source scope; applicable primary authority; review and provenance record,full referenced content; dependency/member routing; intended output shape; variant-specific safety rules,Check content/provenance and variant separation; test contextual routing with representative fixture; verify primary-source and human-review gates; confirm no executable handler is implied.,"Import/reconcile child-support-worksheet with provenance, then connect it to its contextual workflow and review fixture."
cap-821f1ba7a218f2ec05a1,22,court-language,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\court-language\SKILL.md,ee5fe90e7601556d61d963559e45bfcfaab7e0a44e19ead75cd21732113feb2d,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,method,adapt,Adapt court-language as a human-reviewed editing method with a preserved original text and individually addressable proposed edits; expose the source guidance as a readable companion and retain variant provenance.,"User supplies the original filing or draft, reviews each proposed language edit against the source and context, and individually accepts or rejects edits before export.","Agent may propose clarity, tone, organization, and citation-preserving edits only; it must not add facts, alter legal positions, or silently overwrite the original.",original document snapshot; proposed-edit representation; source and citation records; review/audit receipt; export policy,edit granularity and merge format; protected legal/factual spans; stale-proposal identity/version rule; synthetic fixture corpus,"Check structure/method (original retained and each edit independently addressable); citations/legal sources (citations and authorities unchanged unless separately proposed); factual evidence support (no added facts and every factual change linked to supplied evidence); substantive reasoning/requested relief (no silent change to theory, position, or requested relief); test synthetic unsupported additions and stale proposals.","Define the original-plus-edit method contract, including accept/reject per edit, unsupported-fact rejection, stale-proposal detection, and a synthetic fixture."
cap-477194f50e3e0a39af59,23,court-resources,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\court-resources\SKILL.md,903cfa19ead796e872a095b3062e7d0d5af53d9f23b69f4564bda0ccc85fc434,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,port,"Port court-resources as versioned human-readable guidance and contextual workflow help, retaining its variant identity and provenance; bind any execution to an explicit case task and review gate.","User opens the guidance in the relevant case workflow, supplies facts and sources, and accepts or revises the proposed work product.","Agent may use the guidance as a bounded role procedure, with source-linked outputs and escalation when facts, authority, or safety are uncertain.",skill content and references; case/source scope; applicable primary authority; review and provenance record,full referenced content; dependency/member routing; intended output shape; variant-specific safety rules,Check content/provenance and variant separation; test contextual routing with representative fixture; verify primary-source and human-review gates; confirm no executable handler is implied.,"Import/reconcile court-resources with provenance, then connect it to its contextual workflow and review fixture."
cap-93fe9f85fe7a6ddf3853,24,cps-resources,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\cps-resources\SKILL.md,802e30de18b24616655960052f7fcdcba3d438cdc63606bb95d33a602b57cffe,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,port,"Port cps-resources as versioned human-readable guidance and contextual workflow help, retaining its variant identity and provenance; bind any execution to an explicit case task and review gate.","User opens the guidance in the relevant case workflow, supplies facts and sources, and accepts or revises the proposed work product.","Agent may use the guidance as a bounded role procedure, with source-linked outputs and escalation when facts, authority, or safety are uncertain.",skill content and references; case/source scope; applicable primary authority; review and provenance record,full referenced content; dependency/member routing; intended output shape; variant-specific safety rules,Check content/provenance and variant separation; test contextual routing with representative fixture; verify primary-source and human-review gates; confirm no executable handler is implied.,"Import/reconcile cps-resources with provenance, then connect it to its contextual workflow and review fixture."
cap-acba6b19c3aec73c447c,25,custody-evaluation-summary,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\custody-evaluation-summary\SKILL.md,e9aa24de79e2c45641ebc41ff89a507b2ab559af4b210b7b62108bca13f44962,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,port,"Port custody-evaluation-summary as versioned human-readable guidance and contextual workflow help, retaining its variant identity and provenance; bind any execution to an explicit case task and review gate.","User opens the guidance in the relevant case workflow, supplies facts and sources, and accepts or revises the proposed work product.","Agent may use the guidance as a bounded role procedure, with source-linked outputs and escalation when facts, authority, or safety are uncertain.",skill content and references; case/source scope; applicable primary authority; review and provenance record,full referenced content; dependency/member routing; intended output shape; variant-specific safety rules,Check content/provenance and variant separation; test contextual routing with representative fixture; verify primary-source and human-review gates; confirm no executable handler is implied.,"Import/reconcile custody-evaluation-summary with provenance, then connect it to its contextual workflow and review fixture."
cap-17bcfd01d21f5fbfceab,26,custody-packet-builder,skill,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit,3.2.0,C:\Users\matts\.claude\local-plugins\plugins\family-court-toolkit\skills\custody-packet-builder\SKILL.md,e64f3bc1046f5964bda3a6d03dc48dd5b053bba58e0e79bc03e1dab9a162bc0f,instruction artifact present; not an executable handler,plugin convention discovery; no Advocatio runner proven,resource,port,"Port custody-packet-builder as versioned human-readable guidance and contextual workflow help, retaining its variant identity and provenance; bind any execution to an explicit case task and review gate.","User opens the guidance in the relevant case workflow, supplies facts and sources, and accepts or revises the proposed work product.","Agent may use the guidance as a bounded role procedure, with source-linked outputs and escalation when facts, authority, or safety are uncertain.",skill content and references; case/source scope; applicable primary authority; review and provenance record,full referenced content; dependency/member routing; intended output shape; variant-specific safety rules,Check content/provenance and variant separation; test contextual routing with representative fixture; verify primary-source and human-review gates; confirm no executable handler is implied.,"Import/reconcile custody-packet-builder with provenance, then connect it to its contextual workflow and review fixture."
